iter	Passed	Remaining
431	1607	2113
432	1610	2109
433	1614	2105
434	1617	2101
435	1621	2097
436	1624	2093
437	1627	2088
438	1631	2085
439	1635	2081
440	1638	2077
441	1641	2072
442	1645	2068
443	1648	2064
444	1652	2061
445	1656	2057
446	1659	2053
447	1662	2048
448	1666	2045
449	1670	2041
450	1673	2036
451	1676	2032
452	1680	2029
453	1683	2025
454	1687	2021
455	1691	2017
456	1694	2013
457	1698	2010
458	1702	2006
459	1706	2003
460	1709	1998
461	1712	1994
462	1716	1990
463	1719	1986
464	1723	1982
465	1727	1979
466	1730	1975
467	1734	1971
468	1737	1967
469	1741	1963
470	1744	1959
471	1748	1955
472	1751	1951
473	1755	1947
474	1758	1944
475	1762	1940
476	1766	1936
477	1769	1932
478	1773	1928
479	1776	1924
480	1779	1920
481	1783	1916
482	1786	1912
483	1790	1908
484	1793	1904
485	1797	1900
486	1800	1896
487	1804	1893
488	1807	1889
489	1811	1885
490	1814	1881
491	1818	1877
492	1821	1873
493	1825	1869
494	1828	1865
495	1832	1862
496	1836	1858
497	1839	1854
498	1843	1850
499	1846	1846
500	1850	1842
501	1853	1838
502	1857	1834
503	1860	1830
504	1864	1827
505	1868	1823
506	1871	1820
507	1875	1816
508	1878	1812
509	1882	1808
510	1886	1805
511	1890	1801
512	1893	1797
513	1898	1794
514	1902	1791
515	1905	1787
516	1909	1783
517	1912	1779
518	1915	1775
519	1919	1771
520	1923	1767
521	1926	1764
522	1930	1760
523	1933	1756
524	1936	1752
525	1940	1748
526	1943	1744
527	1947	1740
528	1950	1736
529	1954	1732
530	1957	1729
531	1961	1725
532	1964	1721
533	1968	1717
534	1971	1713
535	1975	1709
536	1978	1706
537	1982	1702
538	1985	1698
539	1988	1694
540	1992	1690
541	1995	1686
542	1999	1682
543	2002	1678
544	2006	1674
545	2009	1670
546	2012	1667
547	2016	1663
548	2019	1659
549	2023	1655
550	2026	1651
551	2030	1647
552	2033	1643
553	2037	1640
554	2040	1636
555	2044	1632
556	2047	1628
557	2050	1624
558	2053	1620
559	2057	1616
560	2060	1612
561	2064	1608
562	2067	1604
563	2071	1601
564	2074	1597
565	2078	1593
566	2082	1589
567	2085	1586
568	2089	1582
569	2093	1579
570	2096	1575
571	2100	1571
572	2103	1567
573	2106	1563
574	2110	1559
575	2113	1556
576	2117	1552
577	2120	1548
578	2124	1544
579	2127	1540
580	2130	1536
581	2134	1533
582	2137	1529
583	2141	1525
584	2145	1521
585	2148	1517
586	2152	1514
587	2155	1510
588	2158	1506
589	2162	1502
590	2165	1498
591	2168	1494
592	2172	1490
593	2175	1487
594	2179	1483
595	2182	1479
596	2186	1475
597	2189	1472
598	2193	1468
599	2196	1464
600	2200	1460
601	2204	1457
602	2208	1453
603	2212	1450
604	2215	1446
605	2219	1443
606	2223	1439
607	2227	1436
608	2230	1432
609	2234	1428
610	2238	1425
611	2242	1421
612	2246	1418
613	2249	1414
614	2252	1410
615	2256	1406
616	2260	1403
617	2263	1399
618	2267	1395
619	2270	1391
620	2274	1387
621	2277	1384
622	2281	1380
623	2284	1376
624	2287	1372
625	2291	1368
626	2294	1365
627	2298	1361
628	2301	1357
629	2305	1353
630	2309	1350
631	2312	1346
632	2315	1342
633	2319	1338
634	2322	1335
635	2326	1331
636	2329	1327
637	2333	1324
638	2337	1320
639	2340	1316
640	2344	1312
641	2347	1309
642	2351	1305
643	2354	1301
644	2358	1297
645	2361	1294
646	2365	1290
647	2368	1286
648	2371	1282
649	2375	1278
650	2378	1275
651	2382	1271
652	2385	1267
653	2388	1263
654	2392	1260
655	2395	1256
656	2399	1252
657	2402	1248
658	2406	1245
659	2409	1241
660	2413	1237
661	2416	1233
662	2420	1230
663	2423	1226
664	2426	1222
665	2430	1218
666	2433	1214
667	2437	1211
668	2440	1207
669	2444	1203
670	2447	1200
671	2451	1196
672	2454	1192
673	2457	1188
674	2460	1184
675	2464	1181
676	2467	1177
677	2470	1173
678	2474	1169
679	2477	1165
680	2481	1162
681	2484	1158
682	2488	1154
683	2491	1151
684	2495	1147
685	2498	1143
686	2501	1139
687	2505	1136
688	2508	1132
689	2512	1128
690	2515	1124
691	2518	1121
692	2522	1117
693	2525	1113
694	2528	1109
695	2532	1105
696	2535	1102
697	2538	1098
698	2542	1094
699	2545	1091
700	2548	1087
701	2552	1083
702	2556	1079
703	2560	1076
704	2563	1072
705	2567	1069
706	2571	1065
707	2575	1062
708	2578	1058
709	2582	1054
710	2585	1051
711	2589	1047
712	2592	1043
713	2596	1039
714	2599	1036
715	2603	1032
716	2606	1028
717	2609	1024
718	2612	1021
719	2616	1017
720	2620	1013
721	2623	1010
722	2626	1006
723	2630	1002
724	2633	999
725	2637	995
726	2640	991
727	2644	987
728	2647	984
729	2651	980
730	2655	977
731	2659	973
732	2663	970
733	2667	966
734	2670	962
735	2674	959
736	2678	955
737	2681	951
738	2684	948
739	2688	944
740	2691	940
741	2694	937
742	2698	933
743	2702	929
744	2705	926
745	2709	922
746	2712	918
747	2715	914
748	2719	911
749	2723	907
750	2726	904
751	2729	900
752	2733	896
753	2737	893
754	2740	889
755	2744	885
756	2747	881
757	2751	878
758	2754	874
759	2758	870
760	2761	867
761	2764	863
762	2768	859
763	2772	856
764	2775	852
765	2778	848
766	2782	845
767	2785	841
768	2789	837
769	2792	834
770	2795	830
771	2799	826
772	2802	823
773	2806	819
774	2809	815
775	2813	812
776	2816	808
777	2819	804
778	2823	800
779	2826	797
780	2829	793
781	2833	789
782	2836	786
783	2840	782
784	2843	778
785	2847	775
786	2850	771
787	2854	767
788	2857	764
789	2860	760
790	2864	756
791	2867	753
792	2870	749
793	2874	745
794	2878	742
795	2881	738
796	2885	734
797	2888	731
798	2891	727
799	2895	723
800	2898	720
801	2902	716
802	2906	712
803	2909	709
804	2912	705
805	2916	701
806	2920	698
807	2923	694
808	2927	691
809	2930	687
810	2935	684
811	2938	680
812	2942	676
813	2945	673
814	2949	669
815	2952	665
816	2956	662
817	2959	658
818	2963	654
819	2966	651
820	2970	647
821	2973	643
822	2977	640
823	2980	636
824	2983	632
825	2987	629
826	2991	625
827	2994	622
828	2998	618
829	3001	614
830	3004	611
831	3008	607
832	3011	603
833	3015	600
834	3018	596
835	3022	592
836	3025	589
837	3028	585
838	3032	581
839	3035	578
840	3039	574
841	3042	570
842	3046	567
843	3049	563
844	3053	560
845	3057	556
846	3061	553
847	3065	549
848	3069	545
849	3073	542
850	3077	538
851	3081	535
852	3085	531
853	3089	528
854	3093	524
855	3096	520
856	3100	517
857	3104	513
858	3108	510
859	3112	506
860	3116	503
861	3120	499
862	3124	495
863	3128	492
864	3132	488
865	3136	485
866	3140	481
867	3144	478
868	3148	474
869	3152	471
870	3156	467
871	3159	463
872	3163	460
873	3167	456
874	3171	453
875	3174	449
876	3178	445
877	3182	442
878	3186	438
879	3189	434
880	3193	431
881	3197	427
882	3201	424
883	3205	420
884	3209	417
885	3213	413
886	3216	409
887	3220	406
888	3225	402
889	3228	399
890	3232	395
891	3236	391
892	3240	388
893	3244	384
894	3248	381
895	3252	377
896	3256	373
897	3261	370
898	3265	366
899	3269	363
900	3273	359
901	3277	356
902	3281	352
903	3284	348
904	3288	345
905	3293	341
906	3297	338
907	3301	334
908	3305	330
909	3309	327
910	3313	323
911	3317	320
912	3321	316
913	3325	312
914	3330	309
915	3334	305
916	3338	302
917	3342	298
918	3347	295
919	3351	291
920	3355	287
921	3359	284
922	3364	280
923	3368	277
924	3372	273
925	3376	269
926	3380	266
927	3384	262
928	3389	259
929	3392	255
930	3397	251
931	3400	248
932	3405	244
933	3410	240
934	3414	237
935	3418	233
936	3422	230
937	3426	226
938	3430	222
939	3435	219
940	3439	215
941	3443	212
942	3447	208
943	3452	204
944	3456	201
945	3460	197
946	3465	193
947	3469	190
948	3473	186
949	3477	183
950	3482	179
951	3485	175
952	3489	172
953	3494	168
954	3498	164
955	3502	161
956	3506	157
957	3510	153
958	3514	150
959	3519	146
960	3523	142
961	3527	139
962	3531	135
963	3535	132
964	3540	128
965	3544	124
966	3548	121
967	3552	117
968	3556	113
969	3559	110
970	3564	106
971	3567	102
972	3571	99
973	3575	95
974	3579	91
975	3583	88
976	3587	84
977	3590	80
978	3594	77
979	3598	73
980	3602	69
981	3605	66
982	3609	62
983	3612	58
984	3616	55
985	3620	51
986	3623	47
987	3627	44
988	3630	40
989	3635	36
990	3638	33
991	3642	29
992	3645	25
993	3649	22
994	3653	18
995	3657	14
996	3660	11
997	3663	7
998	3667	3
999	3671	0
